,x,y,z,qx,qy,qz,qw,width
0,0.0018887156620621681,0.01869882456958294,-0.044167786836624146,-0.046620357781648636,-0.0063062091358006,-0.14666105806827545,0.9880674481391907,0.05893946439027786
1,0.0018887156620621681,0.01869882456958294,-0.044167786836624146,0.12507648766040802,0.9377593398094177,-0.08965933322906494,0.3113270401954651,0.05674000456929207
2,-0.0010153856128454208,0.009172482416033745,-0.043264999985694885,-0.046620357781648636,-0.0063062091358006,-0.14666105806827545,0.9880674481391907,0.06161573529243469
3,-0.0010153856128454208,0.009172482416033745,-0.043264999985694885,0.12507648766040802,0.9377593398094177,-0.08965933322906494,0.3113270401954651,0.0556788444519043
4,-0.0010153856128454208,0.009172482416033745,-0.043264999985694885,0.15388944745063782,0.9416567087173462,0.0009821815183386207,-0.2993321716785431,0.06122415140271187
5,-0.003919485956430435,-0.0003538578748703003,-0.04236221686005592,-0.046620357781648636,-0.0063062091358006,-0.14666105806827545,0.9880674481391907,0.06093045324087143
6,-0.003919485956430435,-0.0003538578748703003,-0.04236221686005592,0.12507648766040802,0.9377593398094177,-0.08965933322906494,0.3113270401954651,0.055596936494112015
7,-0.003919485956430435,-0.0003538578748703003,-0.04236221686005592,0.15388944745063782,0.9416567087173462,0.0009821815183386207,-0.2993321716785431,0.06034563481807709
8,-0.0068235863000154495,-0.009880200028419495,-0.04145943373441696,-0.046620357781648636,-0.0063062091358006,-0.14666105806827545,0.9880674481391907,0.06067297235131264
9,-0.0068235863000154495,-0.009880200028419495,-0.04145943373441696,0.12507648766040802,0.9377593398094177,-0.08965933322906494,0.3113270401954651,0.055255576968193054
10,-0.004442925564944744,0.021738853305578232,-0.016659453511238098,0.06355099380016327,0.9320690035820007,-0.04157194122672081,0.35423216223716736,0.05493193864822388
11,-0.004442925564944744,0.021738853305578232,-0.016659453511238098,0.07584920525550842,0.9622721076011658,0.00372192426584661,-0.261276513338089,0.05543433129787445
12,-0.005922125652432442,0.011854194104671478,-0.016334732994437218,-0.01989893987774849,-0.04886981099843979,-0.07328701764345169,0.9959140419960022,0.05712278187274933
